Date,Air Circulation Fan Power (kWh),Exhaust Fan Power (kWh),Lighting Power (kWh),Water (L/m2),Crop Heating Energy (kJ),Perimeter Heating Energy (kJ),Rail Heating Energy (kJ)
2024-06-24 00:00:00,0.0036,0.3417,0,,,,
2024-06-25 00:00:00,0.0024,0.3466,0,,,,
2024-06-26 00:00:00,0.0021,0.3789,0,,,,
2024-06-27 00:00:00,0.0304,0.2549,0,,,,
2024-06-28 00:00:00,0.0228,0.2874,0,,,,
2024-06-29 00:00:00,0,0.429,0,,,,
2024-06-30 00:00:00,0.0062,0.3825,0,,,,
2024-07-01 00:00:00,0.0344,0.2162,0,42.5547,,,
2024-07-02 00:00:00,0.026,0.2903,0,,,,
2024-07-03 00:00:00,0.0027,0.3784,0,,,,
2024-07-04 00:00:00,0.013,0.3028,0,,,,
2024-07-05 00:00:00,0.0201,0.1942,0,,,,
2024-07-06 00:00:00,0.0151,0.2236,0,,,,
2024-07-07 00:00:00,0.0142,0.2643,0,,,,
2024-07-08 00:00:00,0.013,0.2712,0,48.6477,,,
2024-07-09 00:00:00,0.0124,0.2804,0,,,,
2024-07-10 00:00:00,0.0397,0.1135,0,,,,
2024-07-11 00:00:00,0.0269,0.1141,0,,,,
2024-07-12 00:00:00,0.0097,0.1584,0,,,,
2024-07-13 00:00:00,0.0009,0.2497,0,,,,
2024-07-14 00:00:00,0.0038,0.2391,0,,,,
2024-07-15 00:00:00,0.0018,0.2677,0,34.0462,,,
2024-07-16 00:00:00,0.0021,0.2642,0,,,,
2024-07-17 00:00:00,0.0036,0.2582,0,,,,
2024-07-18 00:00:00,0.0219,0.2631,0,,,,
2024-07-19 00:00:00,0.0275,0.3035,0,,,,
2024-07-20 00:00:00,0.0407,0.2081,0,,,,
2024-07-21 00:00:00,0.041,0.1685,0,,,,
2024-07-22 00:00:00,0.021,0.185,0,49.7525,,,
2024-07-23 00:00:00,0.0207,0.2353,0,,,,
2024-07-24 00:00:00,0.0198,0.2529,0,,,,
2024-07-25 00:00:00,0.0192,0.2261,0,,,,
2024-07-26 00:00:00,0.036,0.1838,0,,,,
2024-07-27 00:00:00,0.0398,0.2197,0,,,,
2024-07-28 00:00:00,0.0395,0.2575,0,,,,
2024-07-29 00:00:00,0.013,0.2626,0,47.7527,,,
2024-07-30 00:00:00,0.0118,0.2687,0.7649,,,,
2024-07-31 00:00:00,0.0127,0.2854,0.5971,,,,
2024-08-01 00:00:00,0.0124,0.2657,0.3798,,,,
2024-08-02 00:00:00,0.0165,0.2018,1.3419,,,,
2024-08-03 00:00:00,0.013,0.223,1.6457,,,,
2024-08-04 00:00:00,0.0162,0.2644,1.3166,,,,
2024-08-05 00:00:00,0.0127,0.2764,0.9368,59.7774,,,
2024-08-06 00:00:00,0.013,0.2597,0.8988,,,,
2024-08-07 00:00:00,0.0151,0.22,1.3925,,,,
2024-08-08 00:00:00,0.0142,0.2676,1.0634,,,,
2024-08-09 00:00:00,0.013,0.228,1.2659,,,,
2024-08-10 00:00:00,0.044,0.1711,1.0887,,,,
2024-08-11 00:00:00,0.0452,0.1707,1.2406,,,,
2024-08-12 00:00:00,0.044,0.1984,1.114,53.5984,2596.9944,5369.8008,2142.3948
2024-08-13 00:00:00,0.0254,0.2048,1.4685,,279.5376,1221.2568,371.9435
2024-08-14 00:00:00,0.0255,0.2224,1.2195,,352.9017,1599.7142,522.5353
2024-08-15 00:00:00,0.0307,0.197,1.6963,,333.6416,1100.0634,498.4043
2024-08-16 00:00:00,0.013,0.2247,1.6963,,144.2775,0,252.9216
2024-08-17 00:00:00,0.013,0.2449,0.8988,,477.9191,0,669.4984
2024-08-18 00:00:00,0.0136,0.2535,1.1013,,90.1734,0,148.7774
2024-08-19 00:00:00,0.0587,0.0774,1.0507,66.723,216.4162,270.3546,357.0658
2024-08-20 00:00:00,0.0643,0.0607,0.9241,,378.7284,1202.6116,364.5047
2024-08-21 00:00:00,0.0564,0.0629,0.9621,,1749.3643,1100.0634,490.9655
2024-08-22 00:00:00,0.0528,0.1082,0.7722,,2073.9886,1771.2885,535.5987
2024-08-23 00:00:00,0.049,0.1377,0.7849,,1172.2544,717.838,297.5548
2024-08-24 00:00:00,0.0457,0.2034,0,,234.4509,139.8386,29.7555
2024-08-25 00:00:00,0.0431,0.2523,0.7595,,306.5896,950.9022,0
2024-08-26 00:00:00,0.041,0.2714,0.6963,59.1446,504.9711,0,0
2024-08-27 00:00:00,0.0404,0.2749,0.633,,712.37,0,0
2024-08-28 00:00:00,0.0409,0.2903,0.7052,,644.5096,0,0
2024-08-29 00:00:00,0.0384,0.2223,0.633,,568.0925,0,0
2024-08-30 00:00:00,0.0174,0.211,0.481,,739.422,0,0
2024-08-31 00:00:00,0.0213,0.1547,0.6963,,333.6416,0,0
2024-09-01 00:00:00,0.026,0.1591,0.6836,,694.3353,0,0
2024-09-02 00:00:00,0.0487,0.1186,0.7469,78.7379,613.1792,279.6771,0
2024-09-03 00:00:00,0.0534,0.1179,1.038,,1433.7573,1165.3214,565.3542
2024-09-04 00:00:00,0.0496,0.1494,0.7849,,847.6301,1183.9665,327.3103
2024-09-05 00:00:00,0.0534,0.1384,0.8228,,550.0578,671.2251,52.0721
2024-09-06 00:00:00,0.0629,0.1058,1.114,,504.9711,0,0
2024-09-07 00:00:00,0.0661,0.0701,1.1773,,1677.2256,1892.4819,282.6771
2024-09-08 00:00:00,0.0617,0.0817,0.8735,,2533.873,2134.8687,1093.514
2024-09-09 00:00:00,0.0679,0.0709,0.9621,50.6237,2443.6996,1612.8048,647.1818
2024-09-10 00:00:00,0.0652,0.0785,0.9115,,703.3526,1034.8054,52.0721
2024-09-11 00:00:00,0.0578,0.0696,0.7876,,289.5604,439.6875,29.8592
2024-09-12 00:00:00,0.049,0.1728,0.7342,,414.7977,316.9674,0
2024-09-13 00:00:00,0.0437,0.1887,0.7342,,360.6937,0,0
2024-09-14 00:00:00,0.0404,0.1952,0.2405,,477.9191,55.9354,74.3887
2024-09-15 00:00:00,0.0425,0.1748,0.7089,,333.6416,0,0
2024-09-16 00:00:00,0.0514,0.1557,0.8482,61.7097,333.6416,0,0
2024-09-17 00:00:00,0.054,0.1053,1.152,,396.763,419.5157,0
2024-09-18 00:00:00,0.0295,0.2328,0.7975,,504.9711,0,0
2024-09-19 00:00:00,0.028,0.2307,0.7089,,450.8671,0,0
2024-09-20 00:00:00,0.0295,0.2285,0.7216,,468.9018,0,0
2024-09-21 00:00:00,0.0274,0.2015,0.7595,,423.8151,0,0
2024-09-22 00:00:00,0.0419,0.1791,0.7342,,378.7284,419.5157,22.3166
2024-09-23 00:00:00,0.0307,0.088,1.3672,70.9959,577.1099,0,0
2024-09-24 00:00:00,0.0277,0.1178,1.2406,,243.4682,0,0
2024-09-25 00:00:00,0.0215,0.1276,1.152,,450.8671,0,0
2024-09-26 00:00:00,0.0387,0.0667,1.6837,,360.6937,0,0
2024-09-27 00:00:00,0.0803,0.0257,2.3546,,225.4335,0,0
2024-09-28 00:00:00,0.0623,0.0271,2.3546,,423.8151,0,0
2024-09-29 00:00:00,0.059,0.04,1.9748,,279.5376,0,0
2024-09-30 00:00:00,0.0313,0.0762,1.5697,20.1904,450.8671,0,0
2024-10-01 00:00:00,0.0319,0.1238,1.1267,,631.2139,503.4188,0
2024-10-02 00:00:00,0.0599,0.0946,1.1267,,2353.5262,540.7091,52.0721
2024-10-03 00:00:00,0.0487,0.1212,0.8735,,2542.8903,1314.4825,520.721
2024-10-04 00:00:00,0.0351,0.1333,0.8608,,2028.9019,624.6122,297.5548
2024-10-05 00:00:00,0.0502,0.1202,1.038,,270.5202,1090.7408,89.2665
2024-10-06 00:00:00,0.0446,0.1645,0.9621,,153.2948,233.0643,44.6332
2024-10-07 00:00:00,0.0682,0.062,1.6583,46.0666,1154.2197,960.2248,550.4764
2024-10-08 00:00:00,0.0593,0.0891,0.9874,,1830.5204,4344.318,3235.9088
2024-10-09 00:00:00,0.0655,0.0563,1.3798,,1737.3621,1936.4961,1112.2537
2024-10-10 00:00:00,0.0658,0.071,2.3546,,1821.503,2573.0295,2015.934
2024-10-11 00:00:00,0.0596,0.0874,1.709,,1686.2429,1006.8376,996.8087
2024-10-12 00:00:00,0.0404,0.1056,2.0255,,2128.0926,876.3217,624.8652
2024-10-13 00:00:00,0.0537,0.1207,1.9115,,513.9885,745.8057,133.8997
2024-10-14 00:00:00,0.0832,0.03,2.304,32.141,3056.8788,1267.8696,788.5203
2024-10-15 00:00:00,0.0835,0.0293,2.3546,,3435.6072,4698.5757,3615.2912
2024-10-16 00:00:00,0.0823,0.0321,2.2786,,3886.4743,9788.6994,2454.8274
2024-10-17 00:00:00,0.0711,0.0581,1.8229,,3183.1216,6637.6704,4708.8052
2024-10-18 00:00:00,0.0608,0.0271,1.671,,2660.1158,1957.7399,2157.2725
2024-10-19 00:00:00,0.0587,0.0828,1.2026,,2064.9712,1892.4819,1443.1409
2024-10-20 00:00:00,0.0543,0.0848,1.5697,,2524.8557,1771.2885,1175.3416
2024-10-21 00:00:00,0.0481,0.0988,1.7216,32.0043,2344.5088,969.5474,587.6708
2024-10-22 00:00:00,0.0457,0.1085,1.6963,,2308.4395,699.1928,520.721
2024-10-23 00:00:00,0.0531,0.0825,1.8482,,315.607,522.064,89.2665
2024-10-24 00:00:00,0.0666,0.0502,1.8547,,2823.2134,598.7234,462.817
2024-10-25 00:00:00,0.0587,0.0552,2.0888,,3074.9135,1995.0302,1093.514
2024-10-26 00:00:00,0.0759,0.0455,1.8482,,2858.4973,1528.9016,371.9435
2024-10-27 00:00:00,0.0823,0.0257,1.9368,,3435.6072,4763.8337,2231.6612
2024-10-28 00:00:00,0.0735,0.0257,2.0001,27.2021,3201.1563,3784.9638,513.2821
2024-10-29 00:00:00,0.0422,0.076,2.1014,,216.4162,904.2894,59.511
2024-10-30 00:00:00,0.0549,0.0405,2.0888,,279.5376,167.8063,96.7053
2024-10-31 00:00:00,0.0676,0.0257,2.3419,,225.4335,65.258,14.8777
2024-11-01 00:00:00,0.077,0.0288,2.2913,,2642.0811,419.5157,520.721
2024-11-02 00:00:00,0.0723,0.0292,2.2913,,3138.0349,3971.4152,2529.2161
2024-11-03 00:00:00,0.0847,0.038,1.8736,,2741.2719,4512.1243,4188.0843
2024-11-04 00:00:00,0.0841,0.0581,2.3546,24.0444,315.607,531.3865,185.9718
2024-11-05 00:00:00,0.082,0.0831,2.3546,,279.5376,0,7.4389
2024-11-06 00:00:00,0.085,0.04,2.3546,,468.9018,0,44.6332
2024-11-07 00:00:00,0.0773,0.0438,1.8103,,2037.9192,1137.3536,371.9435
2024-11-08 00:00:00,0.085,0.0257,2.3546,,2894.5667,3850.2218,1532.4074
2024-11-09 00:00:00,0.085,0.0257,2.3419,,2975.7228,2628.965,1294.3635
2024-11-10 00:00:00,0.085,0.0257,2.3546,,2335.4915,167.8063,319.8714
2024-11-11 00:00:00,0.085,0.0257,2.3546,18.962,2867.5146,1062.7731,892.6645
2024-11-12 00:00:00,0.085,0.0257,3.0467,,3287.1048,1530.2055,1790.3229
2024-11-13 00:00:00,0.085,0.0257,2.6042,,3067.53,1113.2514,1343.6622
2024-11-14 00:00:00,0.085,0.0257,3.3167,,4535.7229,0,1971.3008
2024-11-15 00:00:00,0.085,0.0257,2.5698,10.8755,3516.7632,195.774,1777.8901