Date,Label,Stem length,Leaf number increase,Leaf length,Stem diameter,Number of flowering trusses,Distance between shoot tip and 1 st flowering truss,Remaining leaves,Crop height,Leaf pruning,Number of remaining trusses,Number of harvested trusses
2024-07-15,11,120,16,40,11.11,5,16,16,120,0,5,0
2024-07-15,12,120,15,38,7.57,5,7,15,120,0,5,0
2024-07-15,13,132,16,35,8.46,5,10,16,132,0,5,0
2024-07-15,14,134,17,39,7.2,5,12,17,134,0,5,0
2024-07-15,15,125,17,42,7.8,5,19,17,125,0,5,0
2024-07-15,16,122,17,37,9.23,5,17,17,122,0,5,0
2024-07-15,17,114,18,35,7.89,5,8,18,114,0,5,0
2024-07-15,18,126,17,41,12.2,5,11,17,126,0,5,0
2024-07-15,19,121,17,30,8.58,5,21,17,121,0,5,0
2024-07-15,20,125,16,39,8.22,5,17,16,125,0,5,0
2024-07-22,11,29,4,41,8.98,1,14,17,149,1,6,0
2024-07-22,12,30,3,34,11.28,1,17,15,150,1,6,0
2024-07-22,13,31,4,32,7.46,1,18,17,163,1,6,0
2024-07-22,14,27,4,36,12.04,1,20,18,161,1,6,0
2024-07-22,15,26,4,39,8.87,1,6,18,151,1,6,0
2024-07-22,16,28,4,34,13.24,1,12,18,150,1,6,0
2024-07-22,17,28,5,31,11.06,1,20,20,142,1,6,0
2024-07-22,18,29,4,41,9.21,1,15,18,155,1,6,0
2024-07-22,19,29,3,38,9,1,16,17,150,1,6,0
2024-07-22,20,28,4,40,8.38,1,5,17,153,1,6,0
2024-07-29,11,27,4,42,7.39,1,9,18,176,1,7,0
2024-07-29,12,34,4,41,7.98,1,17,16,184,1,7,0
2024-07-29,13,30,3,36,8.98,1,10,17,193,1,7,0
2024-07-29,14,31,4,43,8.04,1,12,19,192,1,7,0
2024-07-29,15,24,4,44,11.98,1,8,19,175,1,7,0
2024-07-29,16,23,4,32,8.79,1,6,19,173,1,7,0
2024-07-29,17,28,3,30,7.3,1,14,20,170,1,7,0
2024-07-29,18,30,5,39,7.96,1,13,20,185,1,7,0
2024-07-29,19,28,4,41,9.04,1,18,18,178,1,7,0
2024-07-29,20,30,2,40,9.16,1,1,16,183,1,7,0
2024-08-05,11,34,4,42,11.12,1,11,22,210,0,8,0
2024-08-05,12,27,4,39,10.01,1,12,20,211,0,8,0
2024-08-05,13,36,4,38,8.01,1,13,21,229,0,8,0
2024-08-05,14,31,4,45,7.13,1,14,23,223,0,8,0
2024-08-05,15,26,4,43,9.62,1,15,23,201,0,8,0
2024-08-05,16,29,4,32,7.94,1,16,23,202,0,8,0
2024-08-05,17,29,4,34,8.17,1,17,24,199,0,8,0
2024-08-05,18,30,3,38,7.83,1,18,23,215,0,8,0
2024-08-05,19,29,4,30,7.3,2,19,22,207,0,9,0
2024-08-05,20,27,4,39,7.54,2,20,20,210,0,9,0
2024-08-12,11,24,5,42,10.28,1,20,24,234,1,9,0
2024-08-12,12,29,3,37,10.39,2,8,20,240,1,10,0
2024-08-12,13,30,5,30,8.93,1,22,23,259,1,9,0
2024-08-12,14,30,3,38,10,2,8,23,253,1,10,0
2024-08-12,15,28,4,40,10.4,1,22,24,229,1,9,0
2024-08-12,16,30,4,30,8.33,2,10,24,232,1,10,0
2024-08-12,17,30,3,34,9.01,2,13,24,229,1,10,0
2024-08-12,18,33,4,35,9.06,1,21,24,248,1,9,0
2024-08-12,19,31,4,32,8.17,1,18,23,238,1,10,0
2024-08-12,20,30,4,37,10.98,1,20,21,240,1,10,0
2024-08-19,11,25,4,31,9.85,2,11,22,259,2,9,2
2024-08-19,12,32,3,41,9.52,1,15,17,272,2,9,2
2024-08-19,13,25,4,33,7.86,2,9,21,284,2,9,2
2024-08-19,14,25,4,32,9.07,1,10,21,278,2,9,2
2024-08-19,15,24,4,38,12.23,2,10,22,253,2,9,2
2024-08-19,16,21,3,30,6.4,1,16,21,253,2,9,2
2024-08-19,17,27,4,32,6.1,1,15,22,256,2,9,2
2024-08-19,18,28,4,32,9.01,2,20,22,276,2,9,2
2024-08-19,19,24,3,27,6.79,1,18,20,262,2,9,2
2024-08-19,20,25,4,31,7.14,2,11,19,265,2,10,2
2024-08-26,11,26,4,40,9.06,1,15,23,285,1,9,1
2024-08-26,12,24,3,37,8.48,1,13,17,296,1,9,1
2024-08-26,13,25,4,34,7.28,1,15,22,309,1,9,1
2024-08-26,14,25,4,34,6.37,1,14,22,303,1,9,1
2024-08-26,15,27,5,36,7.54,1,15,24,280,1,9,1
2024-08-26,16,26,4,25,5.45,2,6,22,279,1,10,1
2024-08-26,17,29,3,30,7.08,1,17,22,285,1,9,1
2024-08-26,18,26,4,31,9.42,2,8,23,302,1,10,1
2024-08-26,19,27,4,32,7.11,2,9,21,289,1,10,1
2024-08-26,20,23,4,28,8.39,1,10,20,288,1,10,1
2024-09-02,11,24,4,38,7.29,2,7,21,309,2,9,2
2024-09-02,12,24,3,35,8.58,2,10,14,320,2,9,2
2024-09-02,13,26,4,34,8.47,1,7,20,335,2,8,2
2024-09-02,14,25,3,35,6.96,2,6,19,328,2,9,2
2024-09-02,15,26,4,38,9.09,2,8,22,306,2,9,2
2024-09-02,16,23,3,30,5.32,1,11,19,302,2,9,2
2024-09-02,17,26,4,31,6.63,2,8,20,311,2,9,2
2024-09-02,18,21,4,28,6.99,1,12,21,323,2,9,2
2024-09-02,19,20,4,33,5.71,1,11,19,309,2,9,2
2024-09-02,20,20,4,29,7.24,2,6,18,308,2,10,2
2024-09-09,11,17,4,34,7.95,1,7,22,326,1,9,1
2024-09-09,12,22,3,36,8.34,1,10,14,342,1,9,1
2024-09-09,13,15,3,36,6.59,2,4,20,350,1,9,1
2024-09-09,14,16,4,35,7.62,2,10,20,344,1,10,1
2024-09-09,15,18,4,34,8.86,1,7,23,324,1,9,1
2024-09-09,16,18,4,26,6.82,1,14,20,320,1,9,1
2024-09-09,17,18,3,34,8.46,1,10,20,329,1,9,1
2024-09-09,18,20,4,30,7.32,2,5,22,343,1,10,1
2024-09-09,19,19,5,29,8.49,2,3,21,328,1,10,1
2024-09-09,20,30,4,32,9.98,2,8,19,338,1,11,1
2024-09-16,11,20,3,32,6.95,1,12,19,346,2,7,3
2024-09-16,12,22,4,31,7.53,1,15,12,364,2,7,3
2024-09-16,13,25,5,28,8.62,1,12,19,375,2,7,3
2024-09-16,14,22,4,33,8.78,2,9,18,366,2,9,3
2024-09-16,15,21,3,32,7.81,1,13,20,345,2,7,3
2024-09-16,16,21,4,27,7.85,2,6,18,341,2,8,3
2024-09-16,17,16,3,33,7.52,1,10,17,345,2,7,3
2024-09-16,18,20,3,30,8.06,2,10,19,363,2,9,3
2024-09-16,19,27,4,32,9.26,1,8,19,355,2,8,3
2024-09-16,20,38,4,30,6.97,2,8,17,376,2,10,3
2024-09-23,11,20,4,28,6.25,2,6,20,366,1,8,1
2024-09-23,12,20,4,26,8.13,2,8,13,384,1,8,1
2024-09-23,13,21,2,23,5.6,2,2,18,396,1,8,1
2024-09-23,14,22,5,26,8.05,1,11,20,388,1,9,1
2024-09-23,15,21,5,28,7.48,2,7,22,366,1,8,1
2024-09-23,16,18,4,26,6.72,1,10,19,359,1,8,1
2024-09-23,17,17,4,30,8.45,2,7,18,362,1,8,1
2024-09-23,18,20,5,27,7.08,2,4,21,383,1,10,1
2024-09-23,19,20,4,27,5.4,1,14,20,375,1,8,1
2024-09-23,20,22,4,26,5.14,1,11,18,398,1,10,1
2024-09-30,11,18,3,24,4.95,1,8,23,384,0,7,2
2024-09-30,12,34,4,26,6.38,2,4,17,418,0,8,2
2024-09-30,13,26,3,25,6.88,2,3,21,422,0,8,2
2024-09-30,14,22,3,20,7.62,2,7,23,410,0,9,2
2024-09-30,15,22,3,23,5.74,1,8,25,388,0,7,2
2024-09-30,16,25,4,21,7.64,2,6,23,384,0,8,2
2024-09-30,17,19,3,26,5.26,1,9,21,381,0,7,2
2024-09-30,18,20,3,24,7.34,2,7,24,403,0,10,2
2024-09-30,19,21,4,24,7.49,1,15,24,396,0,7,2
2024-09-30,20,24,3,24,6.27,1,5,21,422,0,9,2
2024-10-07,11,17,3,21,6.6,1,8,16,401,0,7,1
2024-10-07,12,17,2,22,6.77,1,4,20,435,0,8,1
2024-10-07,13,23,4,19,5.15,2,3,24,445,0,9,1
2024-10-07,14,19,4,20,7.04,1,8,26,429,0,9,1
2024-10-07,15,18,4,21,8.13,2,2,23,406,0,8,1
2024-10-07,16,21,3,24,5.72,1,7,21,405,0,8,1
2024-10-07,17,17,4,26,9.65,1,10,25,398,0,7,1
2024-10-07,18,20,4,26,7.09,1,6,24,423,0,10,1
2024-10-07,19,21,4,29,6.74,1,7,22,417,0,7,1
2024-10-07,20,17,3,19,5.82,1,7,26,439,0,9,1
2024-10-14,11,18,4,23,5.86,1,8,18,419,1,7,1
2024-10-14,12,21,4,25,6.83,1,4,22,456,1,8,1
2024-10-14,13,25,4,15,7.67,2,5,24,470,1,10,1
2024-10-14,14,20,4,21,5.95,1,8,26,449,1,9,1
2024-10-14,15,20,3,24,6.99,1,12,23,426,1,8,1
2024-10-14,16,17,4,22,8.74,1,10,22,422,1,8,1
2024-10-14,17,21,3,22,6.86,1,7,24,419,1,7,1
2024-10-14,18,19,4,24,7.62,1,9,25,442,1,10,1
2024-10-14,19,18,3,16,8.48,1,12,21,435,1,7,1
2024-10-14,20,17,3,19,6.43,1,6,16,456,1,9,1
2024-10-21,11,14,2,17,6.91,1,8,12,433,2,7,1
2024-10-21,12,16,3,20,6.38,1,5,17,472,2,8,1
2024-10-21,13,18,2,19,2.97,2,2,20,488,2,11,1
2024-10-21,14,22,4,20,7.2,1,12,24,471,2,9,1
2024-10-21,15,21,2,25,7.31,1,4,19,447,2,8,1
2024-10-21,16,21,3,20,6.18,1,12,18,443,2,8,1
2024-10-21,17,25,3,19,7.24,1,9,22,444,2,7,1
2024-10-21,18,19,3,23,5.97,1,8,21,461,2,10,1
2024-10-21,19,15,3,22,8.44,1,5,19,450,2,7,1
2024-10-21,20,20,3,21,7.6,1,8,23,476,2,9,1
2024-10-28,11,17,3,19,6.38,1,3,21,450,0,8,0
2024-10-28,12,14,3,15,5.08,1,5,25,486,0,9,0
2024-10-28,13,21,4,20,0.13,1,10,28,509,0,12,0
2024-10-28,14,20,4,16,5.71,1,4,30,491,0,10,0
2024-10-28,15,14,3,18,5.2,1,3,26,461,0,9,0
2024-10-28,16,20,4,21,5.14,1,2,26,463,0,9,0
2024-10-28,17,15,4,19,5.21,1,3,28,459,0,8,0
2024-10-28,18,16,4,22,6.88,1,1,29,477,0,11,0
2024-10-28,19,18,4,21,6.55,1,4,25,468,0,8,0
2024-10-28,20,17,3,20,5.81,2,3,19,493,0,11,0