Date,Air Circulation Fan Power,Exhaust Fan Power,Lighting Power,Misting Water,Crop Heating Energy,Perimeter Heating Energy,Rail Heating Energy
2024-06-24 00:00:00,0.0044,0.319,0,,,,
2024-06-25 00:00:00,0.0047,0.3365,0,,,,
2024-06-26 00:00:00,0.0021,0.3737,0,,,,
2024-06-27 00:00:00,0.0319,0.2364,0,,,,
2024-06-28 00:00:00,0.0243,0.2848,0,,,,
2024-06-29 00:00:00,0,0.4298,0,,,,
2024-06-30 00:00:00,0.0074,0.3675,0,,,,
2024-07-01 00:00:00,0.0376,0.1718,0,46.6364,,,
2024-07-02 00:00:00,0.0272,0.2772,0,,,,
2024-07-03 00:00:00,0,0.414,0,,,,
2024-07-04 00:00:00,0,0.4326,0,,,,
2024-07-05 00:00:00,0.0003,0.3732,0,,,,
2024-07-06 00:00:00,0.0027,0.3373,0,,,,
2024-07-07 00:00:00,0.0009,0.3324,0,,,,
2024-07-08 00:00:00,0.0003,0.3707,0.1034,44.0772,,,
2024-07-09 00:00:00,0.0086,0.3361,0.0886,,,,
2024-07-10 00:00:00,0.0468,0.1157,0,,,,
2024-07-11 00:00:00,0.0345,0.2297,0,,,,
2024-07-12 00:00:00,0.0207,0.2785,0,,,,
2024-07-13 00:00:00,0.0106,0.2786,0,,,,
2024-07-14 00:00:00,0.0068,0.3071,0,,,,
2024-07-15 00:00:00,0.0112,0.3076,0,53.7924,,,
2024-07-16 00:00:00,0.0012,0.302,0,,,,
2024-07-17 00:00:00,0.0051,0.3083,0,,,,
2024-07-18 00:00:00,0.0344,0.2112,0,,,,
2024-07-19 00:00:00,0.0136,0.3361,0,,,,
2024-07-20 00:00:00,0.0086,0.2552,0,,,,
2024-07-21 00:00:00,0.01,0.1909,0,,,,
2024-07-22 00:00:00,0.0159,0.1701,0,57.1322,,,
2024-07-23 00:00:00,0.0083,0.2659,0,,,,
2024-07-24 00:00:00,0.005,0.2804,0,,,,
2024-07-25 00:00:00,0.0047,0.2708,0,,,,
2024-07-26 00:00:00,0.008,0.2261,0,,,,
2024-07-27 00:00:00,0.0086,0.2645,0,,,,
2024-07-28 00:00:00,0.0071,0.2847,0,,,,
2024-07-29 00:00:00,0,0.2758,0,58.9673,,,
2024-07-30 00:00:00,0.0056,0.2773,0,,,,
2024-07-31 00:00:00,0.0018,0.2868,0,,,,
2024-08-01 00:00:00,0.0024,0.2891,0,,,,
2024-08-02 00:00:00,0.0044,0.2413,0,,,,
2024-08-03 00:00:00,0.0059,0.2591,0,,,,
2024-08-04 00:00:00,0.005,0.2867,0,,,,
2024-08-05 00:00:00,0.003,0.2891,0,58.174,,,
2024-08-06 00:00:00,0.0032,0.2467,0,,,,
2024-08-07 00:00:00,0.0089,0.2008,0,,,,
2024-08-08 00:00:00,0.0127,0.2514,0,,,,
2024-08-09 00:00:00,0.01,0.2434,0,,,,
2024-08-10 00:00:00,0.0221,0.104,0,,,,
2024-08-11 00:00:00,0.0245,0.1025,0,,,,
2024-08-12 00:00:00,0.021,0.1323,0,40.2921,0,0,0
2024-08-13 00:00:00,0.0139,0.1024,0,,0,0,0
2024-08-14 00:00:00,0.0118,0.1415,0,,705.8034,84.1955,0
2024-08-15 00:00:00,0.0083,0.1294,0,,973.8729,65.258,0
2024-08-16 00:00:00,0,0.2496,0.5317,,0,0,0
2024-08-17 00:00:00,0.0032,0.2529,1.2533,,0,0,0
2024-08-18 00:00:00,0.008,0.1652,1.8229,,0,0,0
2024-08-19 00:00:00,0.0153,0.0516,0.6709,43.0166,0,0,0
2024-08-20 00:00:00,0.0292,0.0482,0,,685.318,9.3226,0
2024-08-21 00:00:00,0.0366,0.0642,0,,2227.2834,1053.4505,0
2024-08-22 00:00:00,0.0313,0.1073,0,,2434.6822,922.9345,7.4389
2024-08-23 00:00:00,0.0254,0.1268,0,,1091.0983,568.6768,0
2024-08-24 00:00:00,0.0136,0.1874,0,,613.1792,27.9677,0
2024-08-25 00:00:00,0.013,0.2262,0,,0,0,0
2024-08-26 00:00:00,0.0124,0.2829,0,45.0289,9.0173,0,0
2024-08-27 00:00:00,0.0086,0.3107,0.2912,,9.0173,0,0
2024-08-28 00:00:00,0.0019,0.382,0.9048,,0,0,0
2024-08-29 00:00:00,0.0018,0.3574,0.9368,,0,0,0
2024-08-30 00:00:00,0.0015,0.3496,0.9115,,0,0,0
2024-08-31 00:00:00,0.0009,0.3391,2.0001,,0,0,0
2024-09-01 00:00:00,0.0148,0.2429,1.6837,,0,0,0
2024-09-02 00:00:00,0.0041,0.1846,1.3545,87.9558,0,0,0
2024-09-03 00:00:00,0.0233,0.1434,1.5571,,117.2254,93.2257,0
2024-09-04 00:00:00,0.0277,0.1598,1.633,,252.4856,139.8386,0
2024-09-05 00:00:00,0.0213,0.1659,1.7723,,45.0867,0,0
2024-09-06 00:00:00,0.0047,0.1483,1.9368,,0,0,0
2024-09-07 00:00:00,0.0148,0.042,1.8356,,45.0867,18.6451,0
2024-09-08 00:00:00,0.044,0.0392,1.8103,,1199.3064,149.1611,0
2024-09-09 00:00:00,0.0316,0.0955,1.8103,47.8275,252.4856,65.258,0
2024-09-10 00:00:00,0.0242,0.0537,1.1013,,0,0,0
2024-09-11 00:00:00,0.0086,0.0873,0.8257,,0,0,0
2024-09-12 00:00:00,0.0038,0.1025,0.8228,,0,0,0
2024-09-13 00:00:00,0.0018,0.0996,1.1646,,0,0,0
2024-09-14 00:00:00,0.0047,0.1115,0.9115,,0,0,0
2024-09-15 00:00:00,0,0.0811,0.8482,,0,0,0
2024-09-16 00:00:00,0.0006,0.0412,1.1393,31.1751,0,0,0
2024-09-17 00:00:00,0,0.086,1.4938,,0,0,0
2024-09-18 00:00:00,0,0.1505,0.9368,,0,0,0
2024-09-19 00:00:00,0.0009,0.1704,0.9494,,0,0,0
2024-09-20 00:00:00,0,0.1962,0.9368,,0,0,0
2024-09-21 00:00:00,0.0021,0.1868,0.9621,,0,0,0
2024-09-22 00:00:00,0,0.1214,1.3292,,0,0,0
2024-09-23 00:00:00,0.0097,0.0415,1.6837,44.4504,0,0,0
2024-09-24 00:00:00,0.0012,0.0442,1.7216,,0,0,0
2024-09-25 00:00:00,0.0027,0.1144,1.8609,,0,0,0
2024-09-26 00:00:00,0.0044,0.0547,1.9242,,0,0,0
2024-09-27 00:00:00,0,0.0326,2.1647,,0,0,0
2024-09-28 00:00:00,0.0003,0.0363,1.7976,,0,0,0
2024-09-29 00:00:00,0.0009,0.0358,1.9368,,0,0,0
2024-09-30 00:00:00,0.0003,0.0535,1.8356,11.4921,0,0,0
2024-10-01 00:00:00,0,0.1381,2.1141,,0,0,0
2024-10-02 00:00:00,0.0381,0.0394,1.5571,,0,0,0
2024-10-03 00:00:00,0.0331,0.0458,1.3039,,0,111.8708,0
2024-10-04 00:00:00,0.0274,0.0745,1.3925,,162.3122,121.1934,0
2024-10-05 00:00:00,0.0121,0.0563,1.4178,,0,9.3226,0
2024-10-06 00:00:00,0.0009,0.1335,1.4052,,0,0,0
2024-10-07 00:00:00,0.0419,0.0284,1.3925,21.9774,162.3122,158.4837,0
2024-10-08 00:00:00,0.046,0.0298,1.3925,,18.0347,531.3865,0
2024-10-09 00:00:00,0.0506,0.0296,1.4178,,27.1463,495.8178,0
2024-10-10 00:00:00,0.0511,0.0257,1.4558,,36.0694,857.6765,0
2024-10-11 00:00:00,0.0384,0.0306,1.5571,,90.1734,615.2897,0
2024-10-12 00:00:00,0.0363,0.0773,1.633,,0,83.9031,0
2024-10-13 00:00:00,0.054,0.1082,1.5318,,9.0173,9.3226,0
2024-10-14 00:00:00,0.0847,0.0257,2.1774,20.0138,0,1603.4822,535.5987
2024-10-15 00:00:00,0.08,0.0257,2.1141,,0,1836.5465,111.5831
2024-10-16 00:00:00,0.0803,0.0257,1.7723,,2182.1967,1957.7399,245.4827
2024-10-17 00:00:00,0.0812,0.0264,1.2406,,1505.8961,1006.8376,282.6771
2024-10-18 00:00:00,0.0788,0.0263,1.4052,,1181.2718,932.2571,386.8213
2024-10-19 00:00:00,0.0785,0.0284,1.4811,,667.2833,512.7414,14.8777
2024-10-20 00:00:00,0.0773,0.0278,1.5064,,550.0578,438.1608,0
2024-10-21 00:00:00,0.0578,0.0312,1.5951,16.4261,495.9538,400.8705,0
2024-10-22 00:00:00,0.057,0.0517,1.5697,,532.0232,242.3868,0
2024-10-23 00:00:00,0.0505,0.0456,1.6457,,315.607,223.7417,0
2024-10-24 00:00:00,0.0832,0.0285,1.6641,,769.1447,346.137,0
2024-10-25 00:00:00,0.0505,0.0298,1.8862,,550.0578,550.0317,0
2024-10-26 00:00:00,0.0826,0.0264,1.6963,,937.8035,512.7414,0
2024-10-27 00:00:00,0.08,0.0257,1.7343,,1280.4625,820.3862,7.4389
2024-10-28 00:00:00,0.0646,0.0291,1.7596,16.5755,901.7342,717.838,22.3166
2024-10-29 00:00:00,0.0286,0.0705,1.8103,,243.4682,223.7417,0
2024-10-30 00:00:00,0.0331,0.0622,1.8229,,108.2081,93.2257,0
2024-10-31 00:00:00,0.0227,0.0311,2.2533,,99.1908,55.9354,29.7555
2024-11-01 00:00:00,0.0764,0.0264,1.9622,,964.8556,307.6448,74.3887
2024-11-02 00:00:00,0.0809,0.0291,1.8862,,1713.2949,727.1605,156.2163
2024-11-03 00:00:00,0.0487,0.0257,1.7723,,1208.3238,475.4511,0
2024-11-04 00:00:00,0.0395,0.0417,2.0634,18.3772,126.2428,93.2257,0
2024-11-05 00:00:00,0.0328,0.0966,1.9242,,18.0347,9.3226,0
2024-11-06 00:00:00,0.0086,0.0435,2.3546,,0,0,0
2024-11-07 00:00:00,0.0685,0.0271,1.9115,,883.6995,0,0
2024-11-08 00:00:00,0.0764,0.0298,1.9242,,1569.0174,0,0
2024-11-09 00:00:00,0.0564,0.0257,1.8989,,1217.3411,0,0
2024-11-10 00:00:00,0.0168,0.0257,2.3546,,279.5376,0,0
2024-11-11 00:00:00,0.0847,0.0257,1.9875,14.4297,1181.2718,0,0
2024-11-12 00:00:00,0.0615,0.0257,2.1544,,2833.0848,291.0207,0
2024-11-13 00:00:00,0.0533,0.0257,2.0579,,2796.0671,196.4561,0
2024-11-14 00:00:00,0.0274,0.0257,2.3546,,2191.214,46.6129,0
2024-11-15 00:00:00,0.0779,0.0257,2.3546,6.6452,937.8035,0,0