Cultivar name,Cultivar ID,Replicate,Maximum height (cm),Maximum projected canopy area (cm2),SD-LD Plant height difference (%)
Benton,K14,1,26.4,1374.19,73.11
Benton,K14,2,30.6,1709.7,128.36
Benton,K14,3,28.3,1115.34,120.23
Bountiful,K01,1,25.1,1012.65,110.92
Bountiful,K01,2,21.4,875.6,76.13
Bountiful,K01,3,23.6,798.43,65.03
Chandler,K09,1,29.6,1530.31,42.94
Chandler,K09,2,23.5,1084.64,38.64
Chandler,K09,3,29.7,1611.06,106.97
Dover,K06,1,26.4,1763.81,52.16
Dover,K06,2,25.1,989.41,50.19
Dover,K06,3,24.3,1174.76,49.69
Earliglow,K10,1,27.3,1017.73,113.55
Earliglow,K10,2,24.6,1045.57,105.86
Earliglow,K10,3,22.3,1038.22,119.7
Elsanta,K32,1,25.8,770.21,92.37
Elsanta,K32,2,25.8,853,122.41
Elsanta,K32,3,23.9,910.81,99.17
Honeoye,K27,1,26.4,1027.05,147.89
Honeoye,K27,2,20.4,945.31,86.02
Honeoye,K27,3,20.3,795.17,85.39
Hood,K13,1,30.4,1586.89,121.09
Hood,K13,2,31.2,1507.95,121.28
Hood,K13,3,24.9,1293.68,76.74
Mara des Bois,K08,1,18.3,631.34,71.03
Mara des Bois,K08,2,19.4,501.47,79.63
Mara des Bois,K08,3,19.2,622.77,40.09
Marshall ,K33,1,21.2,1205.56,76.67
Marshall ,K33,2,21.7,1238.57,101.86
Marshall ,K33,3,19.5,1250.3,107.45
Melody,K02,1,18.7,828.54,59.83
Melody,K02,2,22.1,873.17,105.58
Melody,K02,3,22.3,894.66,89.79
Miyazaki,K29,1,33.1,1597.85,118.51
Miyazaki,K29,2,31.2,1427.42,108
Miyazaki,K29,3,30.9,1942.09,127.21
NW 90054-37,K21,1,20.7,845.17,48.39
NW 90054-37,K21,2,22.7,823.51,101.78
NW 90054-37,K21,3,24.8,1068.34,92.76
Nyohou,K30,1,30.9,1513.23,111.64
Nyohou,K30,2,30.4,1555.22,97.33
Nyohou,K30,3,30.8,1781.38,87.23
ORUS 1267-236,K31,1,27.9,1019.81,109.05
ORUS 1267-236,K31,2,21.8,938.97,49.29
ORUS 1267-236,K31,3,23.4,800.3,108.93
ORUS 740-7,K20,1,11.2,308.21,60.29
ORUS 740-7,K20,2,17.9,344.09,152.11
ORUS 740-7,K20,3,12.8,328.97,49.71
Perle de Prague,K11,1,19.2,917.34,71.83
Perle de Prague,K11,2,22.9,951.16,77.48
Perle de Prague,K11,3,19.2,797,43.28
Puget Beauty,K17,1,19.3,728.66,76.26
Puget Beauty,K17,2,19.3,762.32,82.94
Puget Beauty,K17,3,19.8,696.8,73.87
Redchief,K25,1,22.3,706.66,107.44
Redchief,K25,2,21.2,789.93,106.83
Redchief,K25,3,19.8,632.29,48.86
Shuksan,K12,1,32.4,1470.88,83.77
Shuksan,K12,2,30.6,1605.23,84.34
Shuksan,K12,3,34.8,1590.27,125.97
Sweet Sunrise,K15,1,25.1,1023.91,91.6
Sweet Sunrise,K15,2,26.4,1514.46,59.45
Sweet Sunrise,K15,3,23.6,1384.49,65.61
Tamella,K22,1,22.7,793.63,84.62
Tamella,K22,2,24.3,653.61,127.1
Tamella,K22,3,17.4,854.98,58.9
Tangi,K04,1,27.4,1273.9,81.46
Tangi,K04,2,27.3,1127.49,86.35
Tangi,K04,3,24.8,1242.76,75.89